response,predictor,r2_part,R2_model,p,estimate,effect_size,effect_size_st,lambda,formula
SOM_BG.Decomposers,leg.ef,0.001,0.0959352509764707,0.8260151804778777,-0.5834724689124235,-1.0513309350947324,-0.017301224846534107,0.10000000000000009,(SOM_BG.Decomposers ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
SOM_BG.Decomposers,gr.ef,0.004,0.09593525097647068,0.4809077561171331,-0.7667453731597097,2.617754035365987,0.04307906259289133,0.10000000000000009,(SOM_BG.Decomposers ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
SOM_BG.Decomposers,sh.ef,0.001,0.09593525097647065,0.6593951410165793,-0.07056473368881108,-1.0263105179191498,-0.016915994686253575,0.10000000000000009,(SOM_BG.Decomposers ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
SOM_BG.Decomposers,th.ef,0.034,0.09593525097647072,0.23171511003500392,0.11467193754001417,-7.77057711701384,-0.12759486017238195,0.10000000000000009,(SOM_BG.Decomposers ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
Plants_BG.Omnivores,sowndiv,0.017,0.11061573847045506,0.8527704448358759,-2.9511030181577693,-0.013654728270860558,-0.006807547200097151,0.10000000000000009,(Plants_BG.Omnivores ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
Plants_BG.Omnivores,numfg,0.051,0.10023544231181483,0.09997357574789642,-0.21841767931049552,0.04860280651513213,0.0175692378231709,0.10000000000000009,(Plants_BG.Omnivores ^ lambda -1)/lambda ~ block + numfg + sowndiv
Plants_BG.Omnivores,leg.ef,0.032,0.11061573847045508,0.19844490558008798,0.5583274375437935,0.05677353215075741,0.008881070678508731,0.10000000000000009,(Plants_BG.Omnivores ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
Plants_BG.Omnivores,gr.ef,0.032,0.11061573847045514,0.19970342011497852,-0.41379128710405844,0.06023277997025468,0.00942220002550538,0.10000000000000009,(Plants_BG.Omnivores ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
Plants_BG.Omnivores,sh.ef,0.002,0.11061573847045511,0.5279708167137629,0.15762008885213752,0.013209142198379056,0.00206954741497312,0.10000000000000009,(Plants_BG.Omnivores ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
Plants_BG.Omnivores,th.ef,0.003,0.11061573847045511,0.5299472713372382,-0.18007713386864296,0.017393902995174577,0.0027149319864353933,0.10000000000000009,(Plants_BG.Omnivores ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
BG.Herbivores_BG.Omnivores,sowndiv,0.001,0.036658422964792506,0.3028734516377677,-5.9752488691659975,3.2745614191297383e-4,0.008118002515965965,0,log(BG.Herbivores_BG.Omnivores) ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
BG.Herbivores_BG.Omnivores,numfg,0.01,0.02935187194826771,0.18769012121168663,0.4341282708833097,0.0014782212056000746,0.026571706313051547,0,log(BG.Herbivores_BG.Omnivores) ~ block + numfg + sowndiv
BG.Herbivores_BG.Omnivores,leg.ef,0.001,0.03665842296479247,0.5521005385395933,0.047350343452781996,7.910116019541136e-4,0.006153053723448903,0,log(BG.Herbivores_BG.Omnivores) ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
BG.Herbivores_BG.Omnivores,gr.ef,0.003,0.0366584229647925,0.37856144664849567,0.20123214901744066,0.0014118015446140967,0.010982001691755975,0,log(BG.Herbivores_BG.Omnivores) ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
BG.Herbivores_BG.Omnivores,sh.ef,0.011,0.036658422964792485,0.18703268463554085,0.5252954000633208,0.0028882792224957862,0.022502376317269902,0,log(BG.Herbivores_BG.Omnivores) ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
BG.Herbivores_BG.Omnivores,th.ef,0,0.036658422964792464,0.8012892966428037,0.05668972703178031,6.157340378872608e-5,4.779071350597307e-4,0,log(BG.Herbivores_BG.Omnivores) ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
BG.Decomposers_BG.Omnivores,sowndiv,0.002,0.08169829226758302,0.3458180747628511,-2.095585842087263,0.00896744974402512,0.006561188616031206,0.10000000000000009,(BG.Decomposers_BG.Omnivores ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
BG.Decomposers_BG.Omnivores,numfg,0.003,0.018712739023659542,0.33670669123240127,0.010357869953750064,0.018142928525407397,0.009625093025258543,0.10000000000000009,(BG.Decomposers_BG.Omnivores ^ lambda -1)/lambda ~ block + numfg + sowndiv
BG.Decomposers_BG.Omnivores,leg.ef,0.019,0.08169829226758309,0.2966019267362908,-0.24401907393518843,-0.0843015436614689,-0.019353562131457235,0.10000000000000009,(BG.Decomposers_BG.Omnivores ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
BG.Decomposers_BG.Omnivores,gr.ef,0.029,0.08169829226758309,0.04096845492121344,-0.218350655236578,0.10743967888578065,0.024665509199331057,0.10000000000000009,(BG.Decomposers_BG.Omnivores ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
BG.Decomposers_BG.Omnivores,sh.ef,0.006,0.08169829226758302,0.28547221313895077,0.29945024040356083,0.048451140160264555,0.011140655349456003,0.10000000000000009,(BG.Decomposers_BG.Omnivores ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
BG.Decomposers_BG.Omnivores,th.ef,0,0.08169829226758304,0.8190560838509825,0.05259795987152533,-6.273050913701561e-4,-1.4369666705762494e-4,0.10000000000000009,(BG.Decomposers_BG.Omnivores ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
SOM_BG.Omnivores,sowndiv,0.001,0.22701238468404797,0.07840529374932764,-1.619536266319148,-0.011323951419091113,-0.004265111401428696,0,log(SOM_BG.Omnivores) ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
SOM_BG.Omnivores,numfg,0.086,0.1962290567467053,0.002227695599172189,-0.09151761288597103,0.1940564907660569,0.05299617551931871,0,log(SOM_BG.Omnivores) ~ block + numfg + sowndiv
SOM_BG.Omnivores,leg.ef,0.028,0.22701238468404797,0.08370889179241003,-1.069386227585481,0.15849321552932472,0.018730737206439054,0,log(SOM_BG.Omnivores) ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
SOM_BG.Omnivores,gr.ef,0.052,0.22701238468404802,0.014388050512333697,-1.1136146334760122,0.23170332008111608,0.027382711517363517,0,log(SOM_BG.Omnivores) ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
SOM_BG.Omnivores,sh.ef,0.039,0.22701238468404797,0.008501039535376722,0.6689237688101094,0.19531827771723084,0.023118967474821558,0,log(SOM_BG.Omnivores) ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
